zipcode,ratreport_count,pizzarestaurant_count,pizza_A,pizza_B,pizza_C
10001,26,62,16,3,0
10002,110,86,27,0,5
10003,148,64,33,0,0
10004,9,34,4,0,0
10005,11,NA,NA,NA,NA
10006,9,23,9,0,0
10007,13,21,8,0,0
10009,159,43,10,12,7
10010,68,27,8,9,0
10011,85,72,12,0,10
10012,65,39,9,4,0
10013,51,26,3,0,0
10014,60,62,11,4,6
10016,85,81,21,3,9
10017,16,20,9,0,0
10018,31,63,14,6,0
10019,84,71,18,3,6
10020,1,NA,NA,NA,NA
10021,67,21,8,0,0
10022,79,33,6,0,0
10023,169,26,15,0,0
10024,291,16,15,0,0
10025,446,43,11,3,0
10026,256,NA,NA,NA,NA
10027,327,4,4,0,0
10028,223,41,4,0,0
10029,209,69,27,8,5
10030,178,NA,NA,NA,NA
10031,304,11,1,0,0
10032,197,17,12,0,0
10033,158,43,11,0,0
10034,123,NA,NA,NA,NA
10035,126,30,9,0,0
10036,74,169,29,13,29
10037,83,3,3,0,0
10038,31,23,10,5,0
10039,137,7,3,0,0
10040,89,8,3,0,0
10044,1,NA,NA,NA,NA
10065,45,14,11,3,0
10069,8,NA,NA,NA,NA
10075,82,14,5,0,0
10105,1,NA,NA,NA,NA
10128,250,24,10,4,0
10154,1,NA,NA,NA,NA
10155,1,NA,NA,NA,NA
10178,1,NA,NA,NA,NA
10280,1,NA,NA,NA,NA
10282,2,NA,NA,NA,NA
10301,46,16,5,0,0
10302,32,12,3,0,0
10303,43,4,3,0,0
10304,65,17,4,0,0
10305,46,21,4,4,0
10306,67,21,4,2,0
10307,4,8,0,0,0
10308,50,10,0,0,0
10309,26,15,8,3,0
10310,51,24,3,0,0
10312,80,16,6,0,0
10314,78,43,8,8,0
10451,92,37,13,3,5
10452,614,24,4,8,0
10453,144,27,11,0,0
10454,84,43,11,0,6
10455,120,51,18,0,0
10456,163,21,17,0,0
10457,127,60,9,4,7
10458,186,124,19,13,11
10459,107,26,11,0,0
10460,155,26,9,5,5
10461,75,38,18,0,0
10462,169,35,8,4,0
10463,186,36,13,3,0
10464,1,12,3,0,0
10465,42,21,11,0,0
10466,93,24,1,4,4
10467,280,85,17,11,0
10468,174,6,0,0,0
10469,95,22,19,0,0
10470,35,41,7,0,8
10471,44,8,8,0,0
10472,126,35,6,8,0
10473,65,5,5,0,0
10474,38,4,4,0,0
10475,8,29,3,0,0
11004,7,NA,NA,NA,NA
11040,3,2,2,0,0
11101,123,71,19,5,0
11102,69,34,6,0,5
11103,160,73,13,11,15
11104,89,29,10,0,0
11105,182,48,10,5,0
11106,99,52,18,0,9
11109,5,NA,NA,NA,NA
11201,116,32,13,8,0
11203,145,13,2,0,0
11204,131,42,13,4,0
11205,198,21,3,0,0
11206,232,10,10,0,0
11207,190,16,12,0,0
11208,105,28,23,0,0
11209,167,41,25,0,0
11210,112,25,7,4,0
11211,238,43,25,0,0
11212,94,21,7,0,0
11213,225,15,3,4,0
11214,104,29,12,0,0
11215,340,40,13,5,0
11216,404,31,8,0,0
11217,156,35,13,4,0
11218,269,25,8,0,0
11219,130,16,4,0,0
11220,171,45,4,8,0
11221,408,51,8,4,15
11222,193,48,11,11,7
11223,95,49,13,3,0
11224,55,16,3,0,10
11225,255,16,7,0,0
11226,460,83,20,3,5
11228,59,14,6,0,0
11229,83,29,6,5,0
11230,235,47,6,3,0
11231,153,33,6,3,0
11232,74,11,3,3,5
11233,340,27,10,0,0
11234,103,40,9,10,0
11235,152,19,7,0,0
11236,71,21,6,3,0
11237,192,22,9,0,0
11238,425,24,9,0,6
11239,12,2,2,0,0
11249,88,NA,NA,NA,NA
11354,47,13,6,0,0
11355,45,12,0,6,0
11356,13,2,2,0,0
11357,34,23,9,0,5
11358,46,15,9,0,0
11360,7,20,9,0,0
11361,22,8,8,0,0
11362,8,4,4,0,0
11363,4,NA,NA,NA,NA
11364,12,16,0,0,0
11365,11,7,4,0,0
11366,20,11,1,4,0
11367,64,26,6,3,0
11368,114,29,3,0,0
11369,72,NA,NA,NA,NA
11370,47,8,4,0,0
11372,93,102,11,5,6
11373,69,25,10,0,0
11374,132,25,4,3,0
11375,123,49,17,5,5
11377,161,23,6,0,0
11378,89,39,5,11,0
11379,96,6,5,0,0
11385,366,67,22,4,15
11411,14,NA,NA,NA,NA
11412,30,28,6,0,0
11413,28,9,0,0,0
11414,17,2,2,0,0
11415,5,7,7,0,0
11416,25,7,0,0,0
11417,40,10,6,0,0
11418,23,2,2,0,0
11419,58,50,3,5,0
11420,29,10,0,0,0
11421,27,14,9,0,0
11422,8,NA,NA,NA,NA
11423,10,8,2,0,0
11426,15,9,9,0,0
11427,5,NA,NA,NA,NA
11428,13,29,1,0,0
11429,10,NA,NA,NA,NA
11430,1,9,4,0,0
11432,104,28,13,0,0
11433,50,2,1,0,0
11434,41,NA,NA,NA,NA
11435,66,57,7,0,8
11436,21,7,2,0,0
11691,45,11,2,4,0
11692,5,6,0,0,0
11693,9,8,5,0,0
11694,15,7,1,0,0
11697,1,NA,NA,NA,NA
